origin,transform_matrix,intensity,length,qo,n
"{-3.0, 2.0, 0.0}","{{0.8660254037844387, 0.49999999999999983, 0.0}, {-0.49999999999999983, 0.8660254037844387, 0.0}, {0.0, 0.0, 1.0}}",1.0,2.8867513459481287,(-2+0.0016110731556870735I),1.0
"{-0.5, 0.5566243270259359, 0.0}","{{0.9428090415820635, 0.33333333333333304, 0.0}, {-0.33333333333333304, 0.9428090415820635, 0.0}, {0.0, 0.0, 1.0}}",1.0,0.5303300858899106,(1.330127018922193+0.00241660973353061I),1.5
"{-0.5, 0.5566243270259359, 0.0}","{{-0.8660254037844387, 0.49999999999999994, -0.0}, {-0.49999999999999994, -0.8660254037844387, 0.0}, {0.0, 0.0, 1.0}}",0.2,None,(0.8867513459481287+0.0016110731556870735I),1.0
"{0.0, 0.37984763172929903, 0.0}","{{0.8660254037844387, 0.49999999999999983, 0.0}, {-0.49999999999999983, 0.8660254037844387, 0.0}, {0.0, 0.0, 1.0}}",1.0,None,(1.2403047365414024+0.0016110731556870732I),1
"{0.0, 0.37984763172929903, 0.0}","{{-0.9428090415820635, 0.3333333333333329, -0.0}, {-0.3333333333333329, -0.9428090415820635, 0.0}, {0.0, 0.0, 1.0}}",0.2,0.5303300858899106,(1.8604571048121037+0.00241660973353061I),1.5
"{-0.5, 0.20307093643266216, 0.0}","{{-0.8660254037844387, 0.49999999999999994, -0.0}, {-0.49999999999999994, -0.8660254037844387, 0.0}, {0.0, 0.0, 1.0}}",0.2,None,(1.5938581271346761+0.0016110731556870732I),1
"{-0.5, 0.20307093643266216, 0.0}","{{0.9428090415820635, 0.33333333333333304, 0.0}, {-0.33333333333333304, 0.9428090415820635, 0.0}, {0.0, 0.0, 1.0}}",0.04000000000000001,0.5303300858899106,(2.390787190702014+0.00241660973353061I),1.5
"{0.0, 0.026294241136025298, 0.0}","{{0.8660254037844387, 0.49999999999999983, 0.0}, {-0.49999999999999983, 0.8660254037844387, 0.0}, {0.0, 0.0, 1.0}}",0.04000000000000001,None,(1.9474115177279496+0.0016110731556870732I),1
"{0.0, 0.026294241136025298, 0.0}","{{-0.9428090415820635, 0.3333333333333329, -0.0}, {-0.3333333333333329, -0.9428090415820635, 0.0}, {0.0, 0.0, 1.0}}",0.008000000000000002,0.5303300858899106,(2.9211172765919247+0.00241660973353061I),1.5
"{-0.5, -0.15048245416061157, 0.0}","{{-0.8660254037844387, 0.49999999999999994, -0.0}, {-0.49999999999999994, -0.8660254037844387, 0.0}, {0.0, 0.0, 1.0}}",0.008000000000000002,None,(2.300964908321223+0.0016110731556870732I),1
"{-0.5, -0.15048245416061157, 0.0}","{{0.9428090415820635, 0.33333333333333304, 0.0}, {-0.33333333333333304, 0.9428090415820635, 0.0}, {0.0, 0.0, 1.0}}",0.0016000000000000005,0.5303300858899106,(3.451447362481835+0.00241660973353061I),1.5
"{0.0, -0.32725914945724843, 0.0}","{{0.8660254037844387, 0.49999999999999983, 0.0}, {-0.49999999999999983, 0.8660254037844387, 0.0}, {0.0, 0.0, 1.0}}",0.0016000000000000005,None,(2.654518298914497+0.0016110731556870732I),1
"{0.0, -0.32725914945724843, 0.0}","{{-0.9428090415820635, 0.3333333333333329, -0.0}, {-0.3333333333333329, -0.9428090415820635, 0.0}, {0.0, 0.0, 1.0}}",0.00032000000000000013,0.5303300858899106,(3.9817774483717456+0.00241660973353061I),1.5
"{-0.5, -0.5040358447538853, 0.0}","{{-0.8660254037844387, 0.49999999999999994, -0.0}, {-0.49999999999999994, -0.8660254037844387, 0.0}, {0.0, 0.0, 1.0}}",0.00032000000000000013,None,(3.008071689507771+0.0016110731556870732I),1
"{-0.5, -0.5040358447538853, 0.0}","{{0.9428090415820635, 0.33333333333333304, 0.0}, {-0.33333333333333304, 0.9428090415820635, 0.0}, {0.0, 0.0, 1.0}}",6.400000000000002e-05,0.5303300858899106,(4.512107534261657+0.00241660973353061I),1.5
"{0.0, -0.6808125400505222, 0.0}","{{0.8660254037844387, 0.49999999999999983, 0.0}, {-0.49999999999999983, 0.8660254037844387, 0.0}, {0.0, 0.0, 1.0}}",6.400000000000002e-05,None,(3.3616250801010445+0.0016110731556870732I),1
"{0.0, -0.6808125400505222, 0.0}","{{-0.9428090415820635, 0.3333333333333329, -0.0}, {-0.3333333333333329, -0.9428090415820635, 0.0}, {0.0, 0.0, 1.0}}",1.2800000000000006e-05,0.5303300858899106,(5.042437620151567+0.00241660973353061I),1.5
"{-0.5, -0.857589235347159, 0.0}","{{-0.8660254037844387, 0.49999999999999994, -0.0}, {-0.49999999999999994, -0.8660254037844387, 0.0}, {0.0, 0.0, 1.0}}",1.2800000000000006e-05,None,(3.715178470694318+0.0016110731556870732I),1
"{-0.5, -0.857589235347159, 0.0}","{{0.9428090415820635, 0.33333333333333304, 0.0}, {-0.33333333333333304, 0.9428090415820635, 0.0}, {0.0, 0.0, 1.0}}",2.5600000000000013e-06,None,(5.5727677060414775+0.00241660973353061I),1.5
